zip,city,county_name
99157,Northport,Stevens County
99158,Oakesdale,Whitman County
99159,Odessa,Lincoln County
99160,Orient,Ferry County
99161,Palouse,Whitman County
99163,Pullman,Whitman County
99166,Republic,Ferry County
99167,Rice,Stevens County
99169,Ritzville,Adams County
99170,Rosalia,Whitman County
99171,Saint John,Whitman County
99173,Springdale,Stevens County
99174,Steptoe,Whitman County
99176,Thornton,Whitman County
99179,Uniontown,Whitman County
99180,Usk,Pend Oreille County
99181,Valley,Stevens County
99185,Wilbur,Lincoln County
99201,Spokane,Spokane County
99202,Spokane,Spokane County
99203,Spokane,Spokane County
99204,Spokane,Spokane County
99205,Spokane,Spokane County
99206,Spokane,Spokane County
99207,Spokane,Spokane County
99208,Spokane,Spokane County
99212,Spokane,Spokane County
99216,Spokane,Spokane County
99217,Spokane,Spokane County
99218,Spokane,Spokane County
99223,Spokane,Spokane County
99224,Spokane,Spokane County
99251,Spokane,Spokane County
99258,Spokane,Spokane County
99301,Pasco,Franklin County
99320,Benton City,Benton County
99321,Beverly,Grant County
99322,Bickleton,Klickitat County
99323,Burbank,Walla Walla County
99324,College Place,Walla Walla County
99326,Connell,Franklin County
99328,Dayton,Columbia County
99329,Dixie,Walla Walla County
99330,Eltopia,Franklin County
99333,Hooper,Whitman County
99335,Kahlotus,Franklin County
99336,Kennewick,Benton County
99337,Kennewick,Benton County
99338,Kennewick,Benton County
99341,Lind,Adams County
99343,Mesa,Franklin County
99344,Othello,Adams County
99345,Paterson,Benton County
99346,Plymouth,Benton County
99347,Pomeroy,Garfield County
99348,Prescott,Walla Walla County
99349,Mattawa,Grant County
99350,Prosser,Benton County
99352,Richland,Benton County
99353,West Richland,Benton County
99354,Richland,Benton County
99356,Roosevelt,Klickitat County
99357,Royal City,Grant County
99359,Starbuck,Columbia County
99360,Touchet,Walla Walla County
99361,Waitsburg,Walla Walla County
99362,Walla Walla,Walla Walla County
99363,Wallula,Walla Walla County
99371,Washtucna,Adams County
99401,Anatone,Asotin County
99402,Asotin,Asotin County
99403,Clarkston,Asotin County
